iso3c;country;emptying_method;population_2017;population_emptying_method;count_pits_septics;emptying_demand;urban_demand;rural_demand
TCD;Chad;no facility;14899995,71;9981400,788;1727729,029;0,669892863;0,055954547;0,944045453
COM;Comoros;no facility;813911,4019;4814,71109;896,3269968;0,005915522;0,256102133;0,743897867
COG;Congo;no facility;5260749,269;460057,5072;106806,2527;0,087450947;0,1173904;0,8826096
COD;Democratic Republic of the Congo;no facility;81340045,87;9803650,29;1849024,042;0,120526737;0,132659904;0,867340096
DJI;Djibouti;no facility;956984,8438;165729,799;34212,65634;0,173179126;0,142743475;0,857256525
GNQ;Equatorial Guinea;no facility;1267689,419;36180,74607;7469,021497;0,028540702;0,639110511;0,360889489
ERI;Eritrea;no facility;;0;0;;;
SWZ;Eswatini;no facility;1367255,195;96219,13643;20311,4781;0,070373941;0,020667952;0,979332048
ETH;Ethiopia;no facility;104957569,2;23458293,45;5083518,854;0,223502637;0,046271675;0,953728325
GAB;Gabon;no facility;2025137,006;59803,41012;14594,74864;0,02953055;0,755936348;0,244063652
GMB;Gambia;no facility;2100567,78;22620,09916;2748,599623;0,010768564;0;1
GHA;Ghana;no facility;28833620,27;5206293,04;1490541,879;0,18056328;0,228983797;0,771016203
GIN;Guinea;no facility;12717180,62;1825028,42;291966,286;0,143508886;0,029532268;0,970467732
GNB;Guinea-Bissau;no facility;1861283,465;313945,1398;64809,6917;0,16867132;0,042870599;0,957129401
KEN;Kenya;no facility;49699904,29;5141423,722;1412935,606;0,103449369;0,04901991;0,95098009
LSO;Lesotho;no facility;2233347,297;609253,842;182142,2253;0,272798522;0,062286245;0,937713755
LBR;Liberia;no facility;4731905,407;1874413,647;378996,2444;0,396122383;0,247707051;0,752292949
MDG;Madagascar;no facility;25570894,83;11398414,34;2303052,631;0,445757351;0,192185643;0,807814357
MWI;Malawi;no facility;18622123,57;1063975,573;235971,3686;0,057135029;0,043432501;0,956567499
MLI;Mali;no facility;18541999,4;1334167,174;235361,2375;0,071953792;0,059909797;0,940090203
MRT;Mauritania;no facility;4420182,997;1411431,186;291370,7154;0,319315102;0,136454846;0,863545154
MUS;Mauritius;no facility;1265137,098;1653,3067;475,7309681;0,00130682;0;1
MYT;Mayotte;no facility;;0;0;;;
MOZ;Mozambique;no facility;29668814,88;8131054,591;1862203,138;0,274060647;0,104892164;0,895107836
NAM;Namibia;no facility;2533795,176;1234275,748;291224,7577;0,487125305;0,232418118;0,767581882
NER;Niger;no facility;21477381,84;14572181,98;2462828,028;0,678489682;0,026499647;0,973500353
NGA;Nigeria;no facility;190886295,6;37803730,06;7712798,177;0,198043186;0,22052635;0,77947365
REU;R閡nion;no facility;876561,9461;0;0;0;;
RWA;Rwanda;no facility;12208457,46;267378,5256;62775,33845;0,02190109;0,127424219;0,872575781
SHN;Saint Helena;no facility;4048,99979;0;0;0;;
STP;Sao Tome and Principe;no facility;204327,3294;96920,09226;25262,95505;0,474337391;0,632423814;0,367576186
SEN;Senegal;no facility;15850567,01;2180155,156;262473,0806;0,137544301;0,063897948;0,936102052
SYC;Seychelles;no facility;94736,99728;0;0;0;;
SLE;Sierra Leone;no facility;7557213,636;1331757,025;225756,9243;0,176223287;0,140182326;0,859817674
SOM;Somalia;no facility;14742509,84;4058197,72;837759,5629;0,275271834;0,018654199;0,981345801
ZAF;South Africa;no facility;56717190,84;819822,1061;252760,9621;0,014454561;0,307140101;0,692859899
SSD;South Sudan;no facility;12575720,02;7899544,024;1328106,954;0,628158388;0,038377745;0,961622255
TGO;Togo;no facility;7797694,339;3718747,691;817071,8672;0,476903496;0,110703623;0,889296377
UGA;Uganda;no facility;42863017,97;2410469,648;531603,4843;0,056236583;0,083675919;0,916324081
TZA;United Republic of Tanzania;no facility;57310008,83;6733196,084;1387844,929;0,117487263;0,047958441;0,952041559
ZMB;Zambia;no facility;17094116,57;3299657,364;643109,1704;0,193028833;0,061413212;0,938586788
ZWE;Zimbabwe;no facility;16529889,79;4121024,614;1010753,827;0,249307447;0,001434177;0,998565823
